 4.619e-01  1.913e-01 
 3.536e-01  3.536e-01 
 1.913e-01  4.619e-01 
 1.141e-15  5.000e-01 
-1.913e-01  4.619e-01 
-3.536e-01  3.536e-01 
-4.619e-01  1.913e-01 
-5.000e-01  1.171e-15 
-4.619e-01 -1.913e-01 
-3.536e-01 -3.536e-01 
-1.913e-01 -4.619e-01 
-9.800e-16 -5.000e-01 
 1.913e-01 -4.619e-01 
 3.536e-01 -3.536e-01 
 4.619e-01 -1.913e-01 
 5.000e-01  0.000e+00 
 1.000e+00 -1.000e+00 
-1.000e+00 -1.000e+00 
 1.000e+00  1.000e+00 
-1.000e+00  1.000e+00 
 8.000e-01 -1.000e+00 
 6.000e-01 -1.000e+00 
 4.000e-01 -1.000e+00 
 2.000e-01 -1.000e+00 
-2.220e-16 -1.000e+00 
-2.000e-01 -1.000e+00 
-4.000e-01 -1.000e+00 
-6.000e-01 -1.000e+00 
-8.000e-01 -1.000e+00 
 1.000e+00  8.000e-01 
 1.000e+00  6.000e-01 
 1.000e+00  4.000e-01 
 1.000e+00  2.000e-01 
 1.000e+00 -2.220e-16 
 1.000e+00 -2.000e-01 
 1.000e+00 -4.000e-01 
 1.000e+00 -6.000e-01 
 1.000e+00 -8.000e-01 
-8.000e-01  1.000e+00 
-6.000e-01  1.000e+00 
-4.000e-01  1.000e+00 
-2.000e-01  1.000e+00 
 2.220e-16  1.000e+00 
 2.000e-01  1.000e+00 
 4.000e-01  1.000e+00 
 6.000e-01  1.000e+00 
 8.000e-01  1.000e+00 
-1.000e+00 -8.000e-01 
-1.000e+00 -6.000e-01 
-1.000e+00 -4.000e-01 
-1.000e+00 -2.000e-01 
-1.000e+00  2.220e-16 
-1.000e+00  2.000e-01 
-1.000e+00  4.000e-01 
-1.000e+00  6.000e-01 
-1.000e+00  8.000e-01 
 6.333e-01  1.418e-01 
-5.696e-01  3.688e-01 
 3.690e-01  5.696e-01 
-1.419e-01  6.333e-01 
-5.464e-01 -4.166e-01 
 1.077e-01  6.641e-01 
-3.238e-01 -5.583e-01 
-6.302e-01 -1.503e-01 
 5.611e-01  3.780e-01 
-6.636e-01  1.059e-01 
-3.780e-01  5.611e-01 
 1.424e-01 -6.332e-01 
 3.780e-01 -5.612e-01 
-9.989e-02 -6.623e-01 
 5.697e-01 -3.691e-01 
 6.641e-01 -1.077e-01 
 5.104e-01 -8.236e-01 
 3.093e-01 -7.905e-01 
 7.456e-02 -8.246e-01 
-1.045e-01 -8.576e-01 
-2.990e-01 -7.943e-01 
-5.221e-01 -8.178e-01 
-7.343e-01 -8.212e-01 
 8.235e-01  5.107e-01 
 7.905e-01  3.093e-01 
 8.250e-01  7.294e-02 
 8.583e-01 -1.078e-01 
 8.036e-01 -3.069e-01 
 8.255e-01 -5.174e-01 
 8.197e-01 -7.285e-01 
-5.107e-01  8.235e-01 
-3.093e-01  7.905e-01 
-7.297e-02  8.250e-01 
 1.077e-01  8.582e-01 
 3.067e-01  8.035e-01 
 5.172e-01  8.255e-01 
 7.284e-01  8.198e-01 
-8.273e-01 -5.173e-01 
-7.877e-01 -3.196e-01 
-8.239e-01 -7.651e-02 
-8.579e-01  1.066e-01 
-8.034e-01  3.063e-01 
-8.255e-01  5.171e-01 
-8.198e-01  7.284e-01 
-8.432e-01 -6.734e-01 
 7.042e-01 -4.539e-01 
-4.691e-01 -6.431e-01 
-7.039e-01 -4.706e-01 
-7.042e-01  4.535e-01 
 4.537e-01  7.042e-01 
 4.540e-01 -6.994e-01 
 6.993e-01  4.541e-01 
-4.541e-01  6.993e-01 
-6.638e-01 -6.229e-01 
 6.696e-01 -8.349e-01 
 8.348e-01  6.698e-01 
-6.698e-01  8.348e-01 
-6.164e-01  6.233e-01 
 6.234e-01  6.164e-01 
 6.164e-01 -6.235e-01 
